zip_code,total,non_hispanic_tot,Not Hispanic or Latino householder: - Householder who is White alone,Not Hispanic or Latino householder: - Householder who is Black or African American alone,Not Hispanic or Latino householder: - Householder who is American Indian and Alaska Native alone,Not Hispanic or Latino householder: - Householder who is Asian alone,Not Hispanic or Latino householder: - Householder who is Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino householder: - Householder who is Some other race alone,Not Hispanic or Latino householder: - Householder who is Two or more races,hispanic_tot,Hispanic or Latino householder: - Householder who is White alone,Hispanic or Latino householder: - Householder who is Black or African American alone,Hispanic or Latino householder: - Householder who is American Indian and Alaska Native alone,Hispanic or Latino householder: - Householder who is Asian alone,Hispanic or Latino householder: - Householder who is Native Hawaiian and Other Pacific Islander alone,Hispanic or Latino householder: - Householder who is Some other race alone,Hispanic or Latino householder: - Householder who is Two or more races,Id_zip,per_capita_income_2017_estimate,per_capita_income_2017_margin,white_tot,black_tot,indian_tot,asian_tot,native_tot,other_tot,mixed_tot
55112,16844,16633,15519,364,80,494,7,15,154,211,107,4,2,3,0,75,20,8600000US55112,34757.0,1164.0,16844,15626,368,82,497,7,90
31032,3809,3792,2952,809,8,7,0,2,14,17,4,4,0,0,0,8,1,8600000US31032,28746.0,3518.0,3809,2956,813,8,7,0,10
84094,8316,8005,7695,37,24,157,24,3,65,311,170,3,4,1,1,116,16,8600000US84094,28776.0,1120.0,8316,7865,40,28,158,25,119
90803,17677,16211,14701,367,60,648,21,38,376,1466,843,6,31,16,2,455,113,8600000US90803,64467.0,3991.0,17677,15544,373,91,664,23,493
98102,12434,12030,10498,409,83,669,20,37,314,404,234,13,8,4,2,104,39,8600000US98102,71933.0,4498.0,12434,10732,422,91,673,22,141
05301,7154,7084,6854,45,19,64,2,9,91,70,47,3,0,0,0,11,9,8600000US05301,29748.0,1430.0,7154,6901,48,19,64,2,20
07452,3977,3896,3611,62,2,202,1,2,16,81,68,1,1,0,0,8,3,8600000US07452,69832.0,7832.0,3977,3679,63,3,202,1,10
19966,7629,7509,6355,895,159,39,0,10,51,120,49,9,3,1,0,51,7,8600000US19966,27689.0,1349.0,7629,6404,904,162,40,0,61
35020,12199,12086,3450,8516,26,13,1,4,76,113,33,36,4,1,0,32,7,8600000US35020,15722.0,1003.0,12199,3483,8552,30,14,1,36
80634,15545,13760,13320,75,52,149,12,12,140,1785,868,6,32,2,0,783,94,8600000US80634,32016.0,1534.0,15545,14188,81,84,151,12,795
60450,7356,7093,6998,16,13,27,0,1,38,263,160,0,1,0,0,83,19,8600000US60450,34369.0,2126.0,7356,7158,16,14,27,0,84
91765,14662,12430,5856,783,26,5419,18,18,310,2232,1272,9,24,19,1,781,126,8600000US91765,36864.0,1764.0,14662,7128,792,50,5438,19,799
75060,14876,10836,9170,775,103,608,10,9,161,4040,2027,12,21,6,3,1742,229,8600000US75060,19540.0,849.0,14876,11197,787,124,614,13,1751
85382,14581,13902,13301,252,48,181,5,5,110,679,392,6,5,3,1,228,44,8600000US85382,31582.0,1121.0,14581,13693,258,53,184,6,233
34110,7327,7149,7069,35,6,16,2,2,19,178,135,1,2,1,0,27,12,8600000US34110,54060.0,4528.0,7327,7204,36,8,17,2,29
34608,9677,9168,8855,200,12,51,0,5,45,509,392,13,2,1,0,76,25,8600000US34608,20794.0,974.0,9677,9247,213,14,52,0,81
